,n_features,k_value,n_folds,avg_rmse,std_rmse
0,1.0,1.0,10.0,12.725685626827559,1.4445643858860553
1,1.0,2.0,10.0,12.095164760511423,1.2844457150417028
2,1.0,3.0,10.0,11.842053617581374,1.3519779284245663
3,1.0,4.0,10.0,11.793626730273127,1.306631633625413
4,1.0,5.0,10.0,11.719854808858056,1.3724834403789061
5,1.0,6.0,10.0,11.73460676293262,1.38318675105805
6,1.0,7.0,10.0,11.661105278592284,1.3842261470537718
7,1.0,8.0,10.0,11.557758109438142,1.3860999245412486
8,1.0,9.0,10.0,11.513369749218615,1.3778681606057996
9,1.0,10.0,10.0,11.496718764244886,1.3868554351846452
10,1.0,11.0,10.0,11.508374059661934,1.3955428636883165
11,1.0,12.0,10.0,11.468238583035738,1.4069077834246726
12,1.0,13.0,10.0,11.43012060087371,1.4164484428263948
13,1.0,14.0,10.0,11.400184805974598,1.401931094443694
14,1.0,15.0,10.0,11.375998400976231,1.4030420314179433
15,1.0,16.0,10.0,11.36052666880628,1.410859522762148
16,1.0,17.0,10.0,11.339322482305395,1.418846875710566
17,1.0,18.0,10.0,11.338180345710162,1.3947491250795976
18,1.0,19.0,10.0,11.336461199117235,1.3926761196979436
19,1.0,20.0,10.0,11.325964044677532,1.401771302832739
20,1.0,21.0,10.0,11.325957427430858,1.4069006708556806
21,1.0,22.0,10.0,11.334898586883345,1.4069985536853131
22,1.0,23.0,10.0,11.343485855021369,1.4070918157466037
23,1.0,24.0,10.0,11.345339375708704,1.4118357042366416
24,1.0,25.0,10.0,11.357830748006947,1.4133683584227559
25,1.0,26.0,10.0,11.37865858711842,1.4109347821203104
26,1.0,27.0,10.0,11.402046131121422,1.4061032181940476
27,1.0,28.0,10.0,11.40582057299235,1.4143496208516346
28,1.0,29.0,10.0,11.419801763256778,1.405037473406375
29,1.0,30.0,10.0,11.417935659024325,1.3896425510023214
30,1.0,31.0,10.0,11.40515402138331,1.3946887119009421
31,1.0,32.0,10.0,11.403347236800174,1.3916848287951593
32,1.0,33.0,10.0,11.397535551633554,1.3934776913720375
33,1.0,34.0,10.0,11.400731136123758,1.3777082712006998
34,1.0,35.0,10.0,11.396298998969186,1.3739252122897958
35,1.0,36.0,10.0,11.379262589033772,1.368816288406051
36,1.0,37.0,10.0,11.382991666912314,1.378162402270147
37,1.0,38.0,10.0,11.38755897140666,1.3819945476848747
38,1.0,39.0,10.0,11.389308208476127,1.376072369067894
39,1.0,40.0,10.0,11.402708153281194,1.3725144834773313
40,1.0,41.0,10.0,11.3913830151055,1.3796005211058082
41,1.0,42.0,10.0,11.38375090289345,1.399593637854322
42,1.0,43.0,10.0,11.378016524147812,1.415276569199069
43,1.0,44.0,10.0,11.365573868282903,1.4117625029440422
44,1.0,45.0,10.0,11.354749369701725,1.4148942597558614
45,1.0,46.0,10.0,11.344701928343037,1.4120592029966794
46,1.0,47.0,10.0,11.334377136367241,1.4119342022284258
47,1.0,48.0,10.0,11.318903957835404,1.4138179069610857
48,1.0,49.0,10.0,11.306393427598584,1.4102728312187218
49,1.0,50.0,10.0,11.30485474252346,1.4080550527863742
50,1.0,51.0,10.0,11.29405451166803,1.4051371770226222
51,1.0,52.0,10.0,11.285356719844073,1.4049364059614258
52,1.0,53.0,10.0,11.278055310795265,1.4060638995294297
53,1.0,54.0,10.0,11.277051386479993,1.403710507465941
54,2.0,1.0,10.0,19.37784242175714,15.638210239171274
55,2.0,2.0,10.0,14.737021641006208,7.754805970558038
56,2.0,3.0,10.0,13.66505772116248,4.1308382075092
57,2.0,4.0,10.0,13.126876902402467,3.1342960821618506
58,2.0,5.0,10.0,12.675400008377045,2.301775987772467
