,features,k_value,n_folds,avg_rmse,std_rmse
0,['ReleaseDate'],1.0,10.0,20.291015493366967,7.222568890604806
1,['ReleaseDate'],2.0,10.0,16.773082435423017,2.802096075364001
2,['ReleaseDate'],3.0,10.0,15.066136496546685,1.5523385951785837
3,['ReleaseDate'],4.0,10.0,14.960611300094417,0.959510013445916
4,['ReleaseDate'],5.0,10.0,14.451139120912458,0.9872307605615941
5,['ReleaseDate'],6.0,10.0,14.179333180268689,1.2018413954173202
6,['ReleaseDate'],7.0,10.0,14.030106395668861,1.3990346601190957
7,['ReleaseDate'],8.0,10.0,14.002247297383073,1.3890859953545915
8,['ReleaseDate'],9.0,10.0,13.949085258181956,1.4526893463009103
9,['ReleaseDate'],10.0,10.0,13.970758018259994,1.5107088471623473
10,['ReleaseDate'],11.0,10.0,13.959456107768585,1.4378507700777308
11,['ReleaseDate'],12.0,10.0,13.913508545305476,1.4847649278066208
12,['ReleaseDate'],13.0,10.0,13.908274730786951,1.479964532294586
13,['ReleaseDate'],14.0,10.0,13.81610632332671,1.5127234043950681
14,['ReleaseDate'],15.0,10.0,13.752626868520295,1.5166465001352656
15,['ReleaseDate'],16.0,10.0,13.822180690283721,1.4697918099954272
16,['ReleaseDate'],17.0,10.0,13.777857603670077,1.4554466621849504
17,['ReleaseDate'],18.0,10.0,13.776454952052726,1.4573875684400575
18,['ReleaseDate'],19.0,10.0,13.755253925543348,1.4736172052685403
19,['ReleaseDate'],20.0,10.0,13.731168584800752,1.4718021387730829
20,['RequiredAge'],1.0,10.0,14.377644942745793,1.710526233586009
21,['RequiredAge'],2.0,10.0,13.783104007918027,1.7184704411711447
22,['RequiredAge'],3.0,10.0,13.789035748724803,1.691787068142035
23,['RequiredAge'],4.0,10.0,13.852327951348343,1.5079696236470554
24,['RequiredAge'],5.0,10.0,14.300191071280718,2.4001484475894252
25,['RequiredAge'],6.0,10.0,14.147176792098742,2.3297830133568147
26,['RequiredAge'],7.0,10.0,14.028755246814905,2.2090293230073446
27,['RequiredAge'],8.0,10.0,13.843580561264393,1.9392278723717602
28,['RequiredAge'],9.0,10.0,13.769452012183923,1.88126680781783
29,['RequiredAge'],10.0,10.0,13.706731454853706,1.8240940112871793
30,['RequiredAge'],11.0,10.0,13.649333317742656,1.7762756205630448
31,['RequiredAge'],12.0,10.0,13.619366039372713,1.7409323421705059
32,['RequiredAge'],13.0,10.0,13.616214013555526,1.7398755141020508
33,['RequiredAge'],14.0,10.0,13.589543190285974,1.7404924566917899
34,['RequiredAge'],15.0,10.0,13.560407867065678,1.7386736586874705
35,['RequiredAge'],16.0,10.0,13.527726782848712,1.7279845562944107
36,['RequiredAge'],17.0,10.0,13.526200977054383,1.7173540109886476
37,['RequiredAge'],18.0,10.0,13.513244925042533,1.717816855549961
38,['RequiredAge'],19.0,10.0,13.494161035130148,1.7124032873367059
39,['RequiredAge'],20.0,10.0,13.477290941068045,1.7117153023934208
40,['DLCCount'],1.0,10.0,14.393336171862623,1.7568605305468252
41,['DLCCount'],2.0,10.0,13.909027291244229,2.0345857401849634
42,['DLCCount'],3.0,10.0,13.770421711027534,1.813217791298836
43,['DLCCount'],4.0,10.0,13.655627019977098,1.795877259169091
44,['DLCCount'],5.0,10.0,13.80589626384733,1.9564958164508355
45,['DLCCount'],6.0,10.0,14.34344108169392,2.649885915068583
46,['DLCCount'],7.0,10.0,14.130470998696804,2.353201451982212
47,['DLCCount'],8.0,10.0,13.783504610323055,2.1120930963068663
48,['DLCCount'],9.0,10.0,13.708556304986365,2.036636117029752
49,['DLCCount'],10.0,10.0,13.588886126264052,1.9608371653394316
50,['DLCCount'],11.0,10.0,13.516642910165228,1.9026696242857635
51,['DLCCount'],12.0,10.0,13.455616694384876,1.8577212807845942
52,['DLCCount'],13.0,10.0,13.423731031350147,1.8289681199289465
53,['DLCCount'],14.0,10.0,13.394262322588895,1.8180089832527626
54,['DLCCount'],15.0,10.0,13.384132434942284,1.8175295156373297
55,['DLCCount'],16.0,10.0,13.35855341689506,1.8012974321079767
56,['DLCCount'],17.0,10.0,13.339901523194166,1.7825190863889842
57,['DLCCount'],18.0,10.0,13.34460480140098,1.7928826356316814
58,['DLCCount'],19.0,10.0,13.34045240835946,1.7929336791176358
59,['DLCCount'],20.0,10.0,13.33761365951067,1.7962693042681073
60,['Metacritic'],1.0,10.0,15.069750281575386,1.6318224387672426
61,['Metacritic'],2.0,10.0,14.380840179605974,1.8833844338996273
62,['Metacritic'],3.0,10.0,13.996923670989952,1.9203897954600337
63,['Metacritic'],4.0,10.0,13.9369237222412,1.8099227953914794
64,['Metacritic'],5.0,10.0,13.819278453599244,1.7915785170574623
65,['Metacritic'],6.0,10.0,13.708389234771584,1.7251010567848928
66,['Metacritic'],7.0,10.0,13.721066164010916,1.6086032392838705
67,['Metacritic'],8.0,10.0,13.715170536811428,1.635129200310232
68,['Metacritic'],9.0,10.0,13.754676895601742,1.6387767559879804
69,['Metacritic'],10.0,10.0,13.717019747719382,1.6389477125225957
70,['Metacritic'],11.0,10.0,13.747972036806377,1.664915999022559
71,['Metacritic'],12.0,10.0,13.71653944196278,1.6690913872654702
72,['Metacritic'],13.0,10.0,13.700113518596535,1.678068631845293
73,['Metacritic'],14.0,10.0,13.685052232525905,1.6735880883608971
74,['Metacritic'],15.0,10.0,13.690716380984963,1.67978397981696
75,['Metacritic'],16.0,10.0,13.651273954893728,1.6927001005417481
76,['Metacritic'],17.0,10.0,13.655864350125654,1.6784576884639468
77,['Metacritic'],18.0,10.0,13.626485313852257,1.6797465440537345
78,['Metacritic'],19.0,10.0,13.557919445742968,1.6916360339238425
79,['Metacritic'],20.0,10.0,13.528997602620473,1.689832532721871
