,ResponseName,ReleaseDate,RequiredAge,DLCCount,Metacritic,MovieCount,RecommendationCount,ScreenshotCount,SteamSpyOwners,SteamSpyPlayersEstimate,PriceFinal,GenreScore,PlatformScore,CategoryScore
0,Counter-Strike,Nov 1 2000,0,0,88,0,68991,13,13033334,9140731,9.99,1,3,1
1,Team Fortress Classic,Apr 1 1999,0,0,0,0,2439,5,5399140,753627,4.99,1,3,1
2,Day of Defeat,May 1 2003,0,0,79,0,2319,5,7621102,1709740,4.99,1,3,1
3,Deathmatch Classic,Jun 1 2001,0,0,0,0,888,4,7498965,789676,4.99,1,3,1
4,Half-Life: Opposing Force,Nov 1 1999,0,0,0,0,2934,5,5399499,705741,4.99,1,3,2
5,Ricochet,Nov 1 2000,0,0,0,0,1965,4,7488563,843481,4.99,1,3,1
6,Half-Life,Nov 8 1998,0,1,96,0,12486,11,5927504,2268772,9.99,1,3,2
7,Counter-Strike: Condition Zero,Mar 1 2004,0,0,65,0,7067,8,10489261,4127910,9.99,1,3,2
8,Counter-Strike: Condition Zero,Mar 1 2004,0,0,65,0,7067,8,10489261,4127910,9.99,1,3,2
9,Half-Life: Blue Shift,Jun 1 2001,0,0,71,0,2219,5,5368650,662517,4.99,1,3,1
10,Half-Life 2,Nov 16 2004,0,1,96,2,35792,9,9901173,5695963,9.99,1,3,2
11,Counter-Strike: Source,Nov 1 2004,0,0,88,0,53931,5,15433570,11472993,19.99,1,3,2
12,Half-Life: Source,Jun 1 2004,0,0,0,0,2547,4,2983660,695697,9.99,1,3,1
13,Day of Defeat: Source,Jul 12 2010,0,0,80,3,7185,5,6400269,2895778,9.99,1,3,2
14,Half-Life 2: Deathmatch,Nov 1 2004,0,0,0,0,4328,5,14001822,3598829,4.99,1,3,2
15,Half-Life 2: Lost Coast,Oct 27 2005,0,0,0,0,4352,5,14844765,2885376,0.0,1,3,1
16,Half-Life Deathmatch: Source,May 1 2006,0,0,0,0,864,5,6796273,388292,9.99,1,3,1
17,Half-Life 2: Episode One,Jun 1 2006,0,1,87,5,4437,5,6298399,2478611,7.99,1,3,2
18,Portal,Oct 10 2007,0,1,90,1,27535,11,9795716,6864247,9.99,1,3,3
19,Half-Life 2: Episode Two,Oct 10 2007,0,1,90,7,6104,5,5735062,2240435,7.99,1,3,2
20,Team Fortress 2,Oct 10 2007,0,0,92,16,383949,11,37878812,37878812,0.0,2,3,3
21,Left 4 Dead,Nov 17 2008,0,0,89,6,9980,12,4473517,3107949,19.99,1,2,4
22,Left 4 Dead 2,Nov 16 2009,0,0,89,3,140726,17,15574539,13583400,19.99,1,3,4
